Receipt no,Date,Employee,Type,Total
"2-0100","Aug 26, 2026 08:47 PM","Owner","Sale",9.98
"2-0099","Aug 26, 2026 08:39 PM","Owner","Sale",49.00
"2-0098","Aug 26, 2026 08:18 PM","Owner","Sale",568.98
"2-0097","Aug 26, 2026 07:39 PM","Owner","Sale",50.00
"2-0096","Aug 26, 2026 07:22 PM","Owner","Sale",29.98
"2-0095","Aug 26, 2026 07:15 PM","Owner","Sale",24.98
"2-0094","Aug 26, 2026 07:14 PM","Owner","Sale",12.98
"2-0093","Aug 26, 2026 07:08 PM","Owner","Sale",50.00
"2-0092","Aug 26, 2026 07:08 PM","Owner","Sale",159.60
"2-0091","Aug 26, 2026 06:56 PM","Owner","Sale",9.98
"2-0090","Aug 26, 2026 06:52 PM","Owner","Sale",19.96
"2-0089","Aug 26, 2026 06:51 PM","Owner","Sale",23.96
"2-0088","Aug 26, 2026 05:47 PM","Owner","Sale",25.00
"2-0087","Aug 26, 2026 05:33 PM","Owner","Sale",93.50
"2-0086","Aug 26, 2026 05:18 PM","Owner","Sale",36.00
"2-0085","Aug 26, 2026 03:57 PM","Owner","Sale",35.00
"2-0084","Aug 26, 2026 03:51 PM","Owner","Sale",75.00
"2-0083","Aug 26, 2026 02:18 PM","Owner","Sale",16.98
"2-0082","Aug 26, 2026 01:27 PM","Owner","Sale",35.00
"2-0081","Aug 26, 2026 01:07 PM","Owner","Sale",17.96
"2-0080","Aug 26, 2026 12:29 PM","Owner","Sale",328.98
"2-0079","Aug 26, 2026 12:26 PM","Owner","Sale",25.00
"2-0078","Aug 26, 2026 12:23 PM","Owner","Sale",112.98
"2-0077","Aug 25, 2026 10:50 PM","Owner","Sale",117.90
"2-0076","Aug 25, 2026 10:46 PM","Owner","Sale",156.98
"2-0075","Aug 25, 2026 10:35 PM","Owner","Sale",15.00
"2-0074","Aug 25, 2026 09:59 PM","Owner","Sale",26.96
"2-0073","Aug 25, 2026 09:29 PM","Owner","Sale",19.98
"2-0072","Aug 25, 2026 09:27 PM","Owner","Sale",53.00
"2-0071","Aug 25, 2026 09:25 PM","Owner","Sale",18.00
"2-0070","Aug 25, 2026 09:09 PM","Owner","Sale",25.00
"1-0328","Aug 25, 2026 08:40 PM","Owner","Sale",137.92
"1-0327","Aug 25, 2026 08:24 PM","Owner","Sale",209.98
"1-0326","Aug 25, 2026 07:58 PM","Owner","Sale",84.96
"1-0325","Aug 25, 2026 07:05 PM","Owner","Sale",12.98
"1-0324","Aug 25, 2026 05:52 PM","Owner","Sale",99.98
"1-0323","Aug 25, 2026 05:48 PM","Owner","Sale",15.00
"1-0322","Aug 25, 2026 03:46 PM","Owner","Sale",27.98
"1-0321","Aug 25, 2026 03:44 PM","Owner","Sale",20.00
"1-0320","Aug 25, 2026 02:59 PM","Owner","Sale",119.94
"1-0319","Aug 25, 2026 02:52 PM","Owner","Sale",54.98
"1-0318","Aug 25, 2026 02:49 PM","Owner","Sale",259.98
"1-0317","Aug 25, 2026 02:33 PM","Owner","Sale",50.00
"1-0316","Aug 25, 2026 12:53 PM","Owner","Sale",8.98
"1-0315","Aug 25, 2026 12:52 PM","Owner","Sale",35.00
"1-0314","Aug 25, 2026 12:50 PM","Owner","Sale",19.98
"1-0313","Aug 25, 2026 11:32 AM","Owner","Sale",84.98
"1-0312","Aug 25, 2026 10:05 AM","Owner","Sale",78.96
"1-0311","Aug 25, 2026 10:02 AM","Owner","Sale",10.00
"1-0310","Aug 24, 2026 09:24 PM","Owner","Sale",108.92
"1-0309","Aug 24, 2026 09:23 PM","Owner","Sale",54.98
"1-0308","Aug 24, 2026 09:05 PM","Owner","Sale",76.94
"2-0069","Aug 24, 2026 08:46 PM","Owner","Sale",197.00
"2-0068","Aug 24, 2026 08:30 PM","Owner","Sale",77.00
"1-0307","Aug 24, 2026 10:30 AM","Owner","Sale",8.00
"1-0306","Aug 24, 2026 10:28 AM","Owner","Sale",29.98
"1-0305","Aug 24, 2026 10:27 AM","Owner","Sale",73.50
"1-0304","Aug 24, 2026 09:32 AM","Owner","Sale",191.98
"1-0303","Aug 24, 2026 08:54 AM","Owner","Sale",19.98
"1-0302","Aug 24, 2026 08:52 AM","Owner","Sale",12.00
"1-0301","Aug 24, 2026 08:27 AM","Owner","Sale",18.00
"1-0300","Aug 24, 2026 08:25 AM","Owner","Sale",35.00
"1-0299","Aug 24, 2026 08:20 AM","Owner","Sale",72.00
"2-0067","Aug 24, 2026 05:54 AM","Owner","Sale",283.96
"2-0066","Aug 24, 2026 05:17 AM","Owner","Sale",15.00
"2-0065","Aug 24, 2026 05:11 AM","Owner","Sale",47.96
"2-0064","Aug 24, 2026 05:04 AM","Owner","Sale",23.00
"2-0063","Aug 24, 2026 03:09 AM","Owner","Sale",75.00
"2-0062","Aug 24, 2026 03:06 AM","Owner","Sale",28.00
"2-0061","Aug 24, 2026 12:15 AM","Owner","Sale",240.00
"2-0060","Aug 24, 2026 12:11 AM","Owner","Sale",159.00
"2-0059","Aug 23, 2026 11:24 PM","Owner","Sale",20.00
"2-0058","Aug 23, 2026 11:14 PM","Owner","Sale",15.00
"2-0057","Aug 23, 2026 11:12 PM","Owner","Sale",64.98
"2-0056","Aug 23, 2026 11:10 PM","Owner","Sale",15.00
"2-0055","Aug 23, 2026 11:02 PM","Owner","Sale",45.00
"2-0054","Aug 23, 2026 10:33 PM","Owner","Sale",10.00
"1-0298","Aug 23, 2026 10:22 PM","Owner","Sale",70.00
"1-0297","Aug 23, 2026 10:17 PM","Owner","Sale",164.98
"1-0296","Aug 23, 2026 09:49 PM","Owner","Sale",158.98
"1-0295","Aug 23, 2026 09:46 PM","Owner","Sale",329.98
"1-0294","Aug 23, 2026 09:44 PM","Owner","Sale",19.98
"1-0293","Aug 23, 2026 09:17 PM","Owner","Sale",167.50
"1-0292","Aug 23, 2026 08:56 PM","Owner","Sale",25.00
"1-0291","Aug 23, 2026 08:48 PM","Owner","Sale",209.96
"2-0053","Aug 23, 2026 08:31 PM","Owner","Sale",199.98
"2-0052","Aug 23, 2026 08:25 PM","Owner","Sale",25.00
"1-0290","Aug 23, 2026 08:08 PM","Owner","Sale",72.00
"1-0289","Aug 23, 2026 08:02 PM","Owner","Sale",30.00
"1-0288","Aug 23, 2026 08:02 PM","Owner","Sale",25.96
"1-0287","Aug 23, 2026 07:55 PM","Owner","Sale",80.00
"1-0286","Aug 23, 2026 07:25 PM","Owner","Sale",169.50
"2-0051","Aug 23, 2026 05:31 PM","Owner","Sale",29.50
"2-0050","Aug 23, 2026 05:29 PM","Owner","Sale",181.96
"2-0049","Aug 23, 2026 05:13 PM","Owner","Sale",35.00
"2-0048","Aug 23, 2026 05:09 PM","Owner","Sale",15.00
"2-0047","Aug 23, 2026 04:42 PM","Owner","Sale",25.00
"2-0046","Aug 23, 2026 03:15 PM","Owner","Sale",45.00
"2-0045","Aug 23, 2026 02:50 PM","Owner","Sale",39.98
"2-0044","Aug 23, 2026 01:21 PM","Owner","Sale",25.00
"1-0285","Aug 23, 2026 12:16 PM","Owner","Sale",186.80
"2-0043","Aug 23, 2026 05:25 AM","Owner","Sale",40.00
"2-0042","Aug 23, 2026 05:23 AM","Owner","Sale",124.98
"2-0041","Aug 23, 2026 04:24 AM","Owner","Sale",20.00
"2-0040","Aug 23, 2026 04:05 AM","Owner","Sale",30.00
"2-0039","Aug 23, 2026 03:32 AM","Owner","Sale",140.00
"2-0038","Aug 23, 2026 03:22 AM","Owner","Sale",35.00
"2-0037","Aug 23, 2026 03:20 AM","Owner","Sale",140.00
"2-0036","Aug 23, 2026 02:57 AM","Owner","Sale",180.00
"2-0035","Aug 23, 2026 01:25 AM","Owner","Sale",71.00
"1-0284","Aug 23, 2026 12:33 AM","Owner","Sale",118.00
"1-0283","Aug 22, 2026 11:40 PM","Owner","Sale",140.00
"1-0282","Aug 22, 2026 10:52 PM","Owner","Sale",29.50
"1-0281","Aug 22, 2026 10:37 PM","Owner","Sale",140.00
"1-0280","Aug 22, 2026 10:09 PM","Owner","Sale",82.50
"1-0279","Aug 22, 2026 10:08 PM","Owner","Sale",10.00
"1-0278","Aug 22, 2026 09:55 PM","Owner","Sale",140.00
"1-0277","Aug 22, 2026 09:51 PM","Owner","Sale",25.00
"1-0276","Aug 22, 2026 09:48 PM","Owner","Sale",140.00
"1-0275","Aug 22, 2026 09:45 PM","Owner","Sale",17.98
"1-0274","Aug 22, 2026 09:41 PM","Owner","Sale",29.50
"1-0273","Aug 22, 2026 09:27 PM","Owner","Sale",140.00
"1-0272","Aug 22, 2026 09:26 PM","Owner","Sale",110.00
"1-0271","Aug 22, 2026 09:15 PM","Owner","Sale",25.00
"1-0270","Aug 22, 2026 09:14 PM","Owner","Sale",65.00
"1-0269","Aug 22, 2026 09:02 PM","Owner","Sale",19.98
"1-0268","Aug 22, 2026 08:53 PM","Owner","Sale",140.00
"1-0267","Aug 22, 2026 08:51 PM","Owner","Sale",39.96
"1-0266","Aug 22, 2026 08:41 PM","Owner","Sale",138.00
"1-0265","Aug 22, 2026 08:40 PM","Owner","Sale",25.00
"1-0264","Aug 22, 2026 08:28 PM","Owner","Sale",95.88
"2-0034","Aug 22, 2026 08:14 PM","Owner","Sale",49.98
"1-0263","Aug 22, 2026 07:47 PM","Owner","Sale",12.00
"1-0262","Aug 22, 2026 07:45 PM","Owner","Sale",12.00
"1-0261","Aug 22, 2026 07:31 PM","Owner","Sale",45.00
"1-0260","Aug 22, 2026 07:17 PM","Owner","Sale",25.00
"1-0259","Aug 22, 2026 06:46 PM","Owner","Sale",30.00
"1-0258","Aug 22, 2026 06:34 PM","Owner","Sale",15.00
"1-0257","Aug 22, 2026 06:06 PM","Owner","Sale",32.00
"1-0256","Aug 22, 2026 05:56 PM","Owner","Sale",84.98
"1-0255","Aug 22, 2026 05:53 PM","Owner","Sale",34.98
"1-0254","Aug 22, 2026 05:31 PM","Owner","Sale",50.00
"1-0253","Aug 22, 2026 04:40 PM","Owner","Sale",72.00
"1-0252","Aug 22, 2026 04:13 PM","Owner","Sale",25.00
"1-0251","Aug 22, 2026 04:06 PM","Owner","Sale",28.00
"1-0250","Aug 22, 2026 03:33 PM","Owner","Sale",35.00
"1-0249","Aug 22, 2026 12:54 PM","Owner","Sale",35.00
"1-0248","Aug 22, 2026 12:13 PM","Owner","Sale",18.00
"1-0247","Aug 22, 2026 11:47 AM","Owner","Sale",24.00
"1-0246","Aug 22, 2026 11:20 AM","Owner","Sale",51.50
"1-0245","Aug 22, 2026 10:59 AM","Owner","Sale",25.00
"1-0244","Aug 22, 2026 10:55 AM","Owner","Sale",90.00
"1-0243","Aug 22, 2026 09:56 AM","Owner","Sale",24.00
"1-0242","Aug 22, 2026 09:05 AM","Owner","Sale",102.00
"1-0241","Aug 22, 2026 08:38 AM","Owner","Sale",18.00
"1-0240","Aug 22, 2026 07:16 AM","Owner","Sale",50.00
"1-0239","Aug 21, 2026 10:31 PM","Owner","Sale",40.00
"1-0238","Aug 21, 2026 08:49 PM","Owner","Sale",87.00
"1-0237","Aug 21, 2026 08:27 PM","Owner","Sale",22.00
"1-0236","Aug 21, 2026 08:02 PM","Owner","Sale",75.00
"1-0235","Aug 21, 2026 07:58 PM","Owner","Sale",210.00
"1-0234","Aug 21, 2026 07:25 PM","Owner","Sale",494.00
"1-0231","Aug 21, 2026 06:54 PM","Owner","Sale",87.00
"1-0230","Aug 21, 2026 06:52 PM","Owner","Sale",330.00
"1-0229","Aug 21, 2026 06:42 PM","Owner","Sale",150.00
"1-0228","Aug 21, 2026 06:41 PM","Owner","Sale",40.00
"1-0227","Aug 21, 2026 04:20 PM","Owner","Sale",150.00
"1-0226","Aug 21, 2026 03:49 PM","Owner","Sale",24.00
"1-0225","Aug 21, 2026 03:47 PM","Owner","Sale",62.50
"1-0224","Aug 21, 2026 03:01 PM","Owner","Sale",9.00
"1-0223","Aug 21, 2026 02:57 PM","Owner","Sale",23.00
"1-0222","Aug 21, 2026 02:31 PM","Owner","Sale",25.00
"1-0221","Aug 21, 2026 02:06 PM","Owner","Sale",50.00
"1-0220","Aug 21, 2026 02:04 PM","Owner","Sale",191.00
"1-0219","Aug 21, 2026 01:42 PM","Owner","Sale",53.00
"1-0218","Aug 21, 2026 01:36 PM","Owner","Sale",45.00
"1-0217","Aug 21, 2026 12:51 PM","Owner","Sale",70.00
"1-0216","Aug 21, 2026 12:36 PM","Owner","Sale",73.50
"1-0215","Aug 21, 2026 12:01 PM","Owner","Sale",20.00
"1-0214","Aug 21, 2026 12:01 PM","Owner","Sale",65.00
"1-0213","Aug 21, 2026 12:00 PM","Owner","Sale",10.00
"1-0212","Aug 21, 2026 12:00 PM","Owner","Sale",18.00
"1-0211","Aug 21, 2026 12:00 PM","Owner","Sale",18.00
"1-0210","Aug 21, 2026 12:00 PM","Owner","Sale",18.00
"1-0209","Aug 21, 2026 11:59 AM","Owner","Sale",25.00
"1-0208","Aug 21, 2026 11:49 AM","Owner","Sale",15.00
"1-0207","Aug 21, 2026 11:46 AM","Owner","Sale",15.00
"1-0206","Aug 21, 2026 11:24 AM","Owner","Sale",20.00
"1-0205","Aug 21, 2026 10:33 AM","Owner","Sale",65.00
"1-0204","Aug 21, 2026 10:06 AM","Owner","Sale",28.00
"1-0203","Aug 21, 2026 07:55 AM","Owner","Sale",18.00
"1-0202","Aug 21, 2026 07:52 AM","Owner","Sale",43.00
"1-0201","Aug 20, 2026 10:12 PM","Owner","Sale",299.00
"1-0200","Aug 20, 2026 09:30 PM","Owner","Sale",124.00
"1-0199","Aug 20, 2026 09:27 PM","Owner","Sale",70.00
"1-0198","Aug 20, 2026 09:13 PM","Owner","Sale",8.00
"1-0197","Aug 20, 2026 08:56 PM","Owner","Sale",75.00
"2-0033","Aug 20, 2026 04:11 PM","Owner","Sale",28.00
"2-0032","Aug 20, 2026 03:35 PM","Owner","Sale",42.00
"2-0031","Aug 20, 2026 02:30 PM","Owner","Sale",80.00
"2-0030","Aug 20, 2026 02:24 PM","Owner","Sale",15.00
"2-0029","Aug 20, 2026 01:52 PM","Owner","Sale",44.00
"2-0028","Aug 20, 2026 01:26 PM","Owner","Sale",103.00
"2-0027","Aug 20, 2026 01:09 PM","Owner","Sale",15.00
"2-0026","Aug 20, 2026 01:08 PM","Owner","Sale",35.00
"2-0025","Aug 19, 2026 10:41 PM","Owner","Sale",87.00
"2-0024","Aug 19, 2026 10:03 PM","Owner","Sale",12.00
"2-0023","Aug 19, 2026 09:59 PM","Owner","Sale",25.00
"1-0196","Aug 19, 2026 09:43 PM","Owner","Sale",291.00
"1-0195","Aug 19, 2026 08:40 PM","Owner","Sale",59.00
"1-0194","Aug 19, 2026 07:23 PM","Owner","Sale",171.00
"1-0193","Aug 19, 2026 06:51 PM","Owner","Sale",130.00
"1-0192","Aug 19, 2026 06:18 PM","Owner","Sale",130.00
"1-0191","Aug 19, 2026 06:16 PM","Owner","Sale",90.00
"1-0190","Aug 19, 2026 04:47 PM","Owner","Sale",150.00
"1-0189","Aug 19, 2026 04:17 PM","Owner","Sale",150.00
"1-0188","Aug 19, 2026 04:10 PM","Owner","Sale",75.00
"1-0187","Aug 19, 2026 03:08 PM","Owner","Sale",25.00
"1-0186","Aug 19, 2026 03:05 PM","Owner","Sale",36.00
"1-0185","Aug 19, 2026 11:44 AM","Owner","Sale",35.00
"1-0184","Aug 19, 2026 11:05 AM","Owner","Sale",25.00
"1-0183","Aug 19, 2026 10:57 AM","Owner","Sale",27.00
"1-0182","Aug 19, 2026 10:18 AM","Owner","Sale",24.00
"1-0181","Aug 19, 2026 10:17 AM","Owner","Sale",20.00
"1-0180","Aug 19, 2026 08:16 AM","Owner","Sale",18.00
"1-0179","Aug 19, 2026 08:05 AM","Owner","Sale",125.00
"1-0178","Aug 18, 2026 09:18 PM","Owner","Sale",75.00
"1-0177","Aug 18, 2026 09:18 PM","Owner","Sale",24.00
"1-0176","Aug 18, 2026 09:14 PM","Owner","Sale",253.50
"1-0175","Aug 18, 2026 09:12 PM","Owner","Sale",40.00
"1-0174","Aug 18, 2026 08:56 PM","Owner","Sale",88.00
"1-0173","Aug 18, 2026 07:49 PM","Owner","Sale",93.00
"1-0172","Aug 18, 2026 07:37 PM","Owner","Sale",10.00
"1-0171","Aug 18, 2026 07:26 PM","Owner","Sale",44.00
"1-0170","Aug 18, 2026 07:14 PM","Owner","Sale",140.50
"2-0022","Aug 18, 2026 04:01 PM","Owner","Sale",37.00
"1-0169","Aug 18, 2026 02:02 PM","Owner","Sale",25.00
"1-0168","Aug 18, 2026 12:40 PM","Owner","Sale",18.00
"1-0167","Aug 18, 2026 11:59 AM","Owner","Sale",12.00
"1-0166","Aug 18, 2026 11:48 AM","Owner","Sale",25.00
"1-0165","Aug 18, 2026 11:38 AM","Owner","Sale",15.00
"1-0164","Aug 18, 2026 11:37 AM","Owner","Sale",18.00
"1-0163","Aug 18, 2026 11:16 AM","Owner","Sale",22.00
"1-0162","Aug 18, 2026 10:51 AM","Owner","Sale",20.00
"1-0161","Aug 18, 2026 10:51 AM","Owner","Sale",15.00
"1-0160","Aug 18, 2026 09:52 AM","Owner","Sale",20.00
"1-0159","Aug 17, 2026 08:46 PM","Owner","Sale",116.00
"1-0158","Aug 17, 2026 07:06 PM","Owner","Sale",20.00
"1-0157","Aug 17, 2026 04:50 PM","Owner","Sale",25.00
"1-0156","Aug 17, 2026 04:31 PM","Owner","Sale",15.00
"1-0155","Aug 17, 2026 04:04 PM","Owner","Sale",10.00
"1-0154","Aug 17, 2026 03:58 PM","Owner","Sale",150.00
"1-0153","Aug 17, 2026 03:17 PM","Owner","Sale",46.00
"1-0152","Aug 17, 2026 03:01 PM","Owner","Sale",28.00
"1-0151","Aug 17, 2026 02:19 PM","Owner","Sale",65.00
"1-0150","Aug 17, 2026 01:31 PM","Owner","Sale",27.00
"1-0149","Aug 17, 2026 01:30 PM","Owner","Sale",15.00
"1-0148","Aug 17, 2026 01:07 PM","Owner","Sale",25.00
"1-0147","Aug 17, 2026 12:08 PM","Owner","Sale",20.00
"1-0146","Aug 17, 2026 11:46 AM","Owner","Sale",15.00
"1-0145","Aug 17, 2026 11:17 AM","Owner","Sale",65.00
"1-0144","Aug 17, 2026 09:26 AM","Owner","Sale",25.00
"1-0143","Aug 17, 2026 08:24 AM","Owner","Sale",50.00
"1-0142","Aug 16, 2026 10:20 PM","Owner","Sale",80.00
"1-0141","Aug 16, 2026 09:43 PM","Owner","Sale",30.00
"1-0140","Aug 16, 2026 09:15 PM","Owner","Sale",20.00
"1-0139","Aug 16, 2026 09:14 PM","Owner","Sale",140.00
"1-0138","Aug 16, 2026 08:31 PM","Owner","Sale",30.00
"1-0137","Aug 16, 2026 08:25 PM","Owner","Sale",52.00
"2-0021","Aug 16, 2026 06:40 PM","Owner","Sale",126.00
"2-0020","Aug 16, 2026 06:12 PM","Owner","Sale",17.00
"1-0136","Aug 16, 2026 06:01 PM","Owner","Sale",25.00
"1-0135","Aug 16, 2026 05:49 PM","Owner","Sale",10.00
"1-0134","Aug 16, 2026 05:32 PM","Owner","Sale",64.00
"1-0133","Aug 16, 2026 05:31 PM","Owner","Sale",20.00
"2-0019","Aug 16, 2026 04:51 PM","Owner","Sale",35.00
"2-0018","Aug 16, 2026 04:32 PM","Owner","Sale",60.00
"2-0017","Aug 16, 2026 04:23 PM","Owner","Sale",10.00
"2-0016","Aug 16, 2026 04:19 PM","Owner","Sale",15.00
"2-0015","Aug 16, 2026 04:19 PM","Owner","Sale",75.00
"2-0014","Aug 16, 2026 04:17 PM","Owner","Sale",15.00
"2-0013","Aug 16, 2026 03:57 PM","Owner","Sale",101.00
"2-0012","Aug 16, 2026 03:49 PM","Owner","Sale",50.00
"2-0011","Aug 16, 2026 03:37 PM","Owner","Sale",17.00
"2-0010","Aug 16, 2026 03:35 PM","Owner","Sale",15.00
"2-0009","Aug 16, 2026 03:28 PM","Owner","Sale",15.00
"2-0008","Aug 16, 2026 03:27 PM","Owner","Sale",25.00
"2-0007","Aug 16, 2026 03:19 PM","Owner","Sale",9.00
"2-0006","Aug 16, 2026 03:17 PM","Owner","Sale",168.00
"2-0005","Aug 16, 2026 02:48 PM","Owner","Sale",25.00
"2-0004","Aug 16, 2026 02:37 PM","Owner","Sale",32.00
"2-0003","Aug 16, 2026 02:32 PM","Owner","Sale",58.00
"2-0002","Aug 16, 2026 02:23 PM","Owner","Sale",60.00
"2-0001","Aug 16, 2026 02:11 PM","Owner","Sale",90.00
"1-0131","Aug 16, 2026 12:34 PM","Owner","Sale",22.00
"1-0130","Aug 16, 2026 12:30 PM","Owner","Sale",25.00
"1-0129","Aug 16, 2026 12:27 PM","Owner","Sale",25.00
"1-0128","Aug 16, 2026 12:25 PM","Owner","Sale",36.00
"1-0127","Aug 16, 2026 08:59 AM","Owner","Sale",40.00
"1-0126","Aug 15, 2026 10:17 PM","Owner","Sale",420.00
"1-0125","Aug 15, 2026 09:25 PM","Owner","Sale",90.00
"1-0124","Aug 15, 2026 08:54 PM","Owner","Sale",60.00
"1-0123","Aug 15, 2026 06:44 PM","Owner","Sale",25.00
"1-0122","Aug 15, 2026 05:52 PM","Owner","Sale",8.00
"1-0121","Aug 15, 2026 05:51 PM","Owner","Sale",12.00
"1-0120","Aug 15, 2026 05:34 PM","Owner","Sale",32.00
"1-0119","Aug 15, 2026 05:33 PM","Owner","Sale",30.00
"1-0118","Aug 15, 2026 03:20 PM","Owner","Sale",37.00
"1-0117","Aug 15, 2026 02:45 PM","Owner","Sale",34.00
"1-0116","Aug 15, 2026 02:32 PM","Owner","Sale",138.50
"1-0115","Aug 15, 2026 01:45 PM","Owner","Sale",9.00
"1-0114","Aug 15, 2026 01:07 PM","Owner","Sale",660.00
"1-0113","Aug 15, 2026 12:52 PM","Owner","Sale",50.00
"1-0112","Aug 15, 2026 12:31 PM","Owner","Sale",43.00
"1-0111","Aug 15, 2026 11:42 AM","Owner","Sale",12.00
"1-0110","Aug 15, 2026 10:46 AM","Owner","Sale",30.00
"1-0109","Aug 15, 2026 10:38 AM","Owner","Sale",12.00
"1-0108","Aug 15, 2026 10:35 AM","Owner","Sale",25.00
"1-0107","Aug 15, 2026 10:35 AM","Owner","Sale",63.00
"1-0106","Aug 14, 2026 09:34 PM","Owner","Sale",50.00
"1-0105","Aug 14, 2026 09:16 PM","Owner","Sale",53.00
"1-0104","Aug 14, 2026 09:00 PM","Owner","Sale",12.00
"1-0103","Aug 14, 2026 08:52 PM","Owner","Sale",166.00
"1-0102","Aug 14, 2026 08:30 PM","Owner","Sale",25.00
"1-0101","Aug 14, 2026 08:11 PM","Owner","Sale",20.00
"1-0100","Aug 14, 2026 07:27 PM","Owner","Sale",20.00
"1-0099","Aug 14, 2026 07:18 PM","Owner","Sale",20.00
"1-0098","Aug 14, 2026 06:28 PM","Owner","Sale",120.00
"1-0097","Aug 14, 2026 06:21 PM","Owner","Sale",10.00
"1-0096","Aug 14, 2026 05:57 PM","Owner","Sale",32.00
"1-0095","Aug 14, 2026 05:55 PM","Owner","Sale",48.00
"1-0094","Aug 14, 2026 05:36 PM","Owner","Sale",12.00
"1-0093","Aug 14, 2026 05:15 PM","Owner","Sale",32.00
"1-0092","Aug 14, 2026 12:09 PM","Owner","Sale",60.00
"1-0091","Aug 14, 2026 11:46 AM","Owner","Sale",38.00
"1-0090","Aug 14, 2026 10:55 AM","Owner","Sale",24.00
"1-0089","Aug 14, 2026 10:32 AM","Owner","Sale",72.00
"1-0088","Aug 14, 2026 10:21 AM","Owner","Sale",30.00
"1-0087","Aug 13, 2026 09:55 PM","Owner","Sale",75.00
"1-0086","Aug 13, 2026 09:55 PM","Owner","Sale",69.00
"1-0085","Aug 13, 2026 03:06 PM","Owner","Sale",35.00
"1-0084","Aug 12, 2026 09:34 PM","Owner","Sale",126.00
"1-0083","Aug 12, 2026 09:07 PM","Owner","Sale",261.00
"1-0082","Aug 12, 2026 09:04 PM","Owner","Sale",99.00
"1-0081","Aug 12, 2026 09:02 PM","Owner","Sale",20.00
"1-0080","Aug 12, 2026 03:37 PM","Owner","Sale",24.00
"1-0079","Aug 12, 2026 02:31 PM","Owner","Sale",18.00
"1-0078","Aug 12, 2026 02:24 PM","Owner","Sale",25.00
"1-0077","Aug 12, 2026 12:19 PM","Owner","Sale",10.00
"1-0076","Aug 12, 2026 11:49 AM","Owner","Sale",50.00
"1-0075","Aug 12, 2026 11:43 AM","Owner","Sale",20.00
"1-0074","Aug 12, 2026 10:40 AM","Owner","Sale",75.00
"1-0073","Aug 12, 2026 08:53 AM","Owner","Sale",25.00
"1-0072","Aug 12, 2026 08:46 AM","Owner","Sale",25.00
"1-0071","Aug 11, 2026 08:44 PM","Owner","Sale",15.00
"1-0070","Aug 11, 2026 08:26 PM","Owner","Sale",58.65
"1-0069","Aug 11, 2026 07:02 PM","Owner","Sale",15.00
"1-0068","Aug 11, 2026 06:55 PM","Owner","Sale",91.00
"1-0067","Aug 11, 2026 04:38 PM","Owner","Sale",159.00
"1-0066","Aug 11, 2026 04:35 PM","Owner","Sale",254.00
"1-0065","Aug 11, 2026 04:13 PM","Owner","Sale",37.00
"1-0064","Aug 10, 2026 10:16 PM","Owner","Sale",283.50
"1-0063","Aug 10, 2026 08:23 PM","Owner","Sale",117.00
"1-0062","Aug 10, 2026 08:21 PM","Owner","Sale",47.00
"1-0061","Aug 10, 2026 07:08 PM","Owner","Sale",28.50
"1-0060","Aug 10, 2026 03:32 PM","Owner","Sale",12.00
"1-0059","Aug 10, 2026 02:50 PM","Owner","Sale",15.00
