SKU,Name,Category,Price,In stock,Reason,Similar older product (verify before using)
98000101,SPECIAL ODONG,FOOD,35.00,25.000,new item - no image found in earlier exports,
10269,SPECIAL ODONG PER PIECE,FOOD,5.00,12.000,new item - no image found in earlier exports,
98000119,SPRITE 1.75L,DRINKS,84.75,12.000,new item - no image found in earlier exports,SPRITE 1.5L (10114)
10413,SUPER BAWANG 5G,SNACKS,2.00,36.000,new item - no image found in earlier exports,
10407,SURF POWDER ANTIBAC 65G,Cleaning/Laundry Supplies,10.00,12.000,new item - no image found in earlier exports,SURF POWDER KALAMANSI (10105)
10406,SURF POWDER PURPLE BLOOMS 65G,Cleaning/Laundry Supplies,10.00,12.000,new item - no image found in earlier exports,SURF POWDER KALAMANSI (10105)
10408,SURF POWDER ROSE FRESH 65G,Cleaning/Laundry Supplies,10.00,12.000,new item - no image found in earlier exports,SURF POWDER KALAMANSI (10105)
980000039,TANDUAY SELECT 700ML,DRINKS,155.00,7.000,new item - no image found in earlier exports,
10417,TANG DALANDAN,FOOD,26.00,12.000,new item - no image found in earlier exports,
10418,TANG LYCHEE,FOOD,27.00,12.000,new item - no image found in earlier exports,
10419,TANG MIXED BERRIES,FOOD,27.00,12.000,new item - no image found in earlier exports,
10420,TANG ORANGE,FOOD,26.00,12.000,new item - no image found in earlier exports,
98000058,TORTILLOS,SNACKS,9.00,10.000,new item - no image found in earlier exports,
98000103,TRAIN CHOCLAIT,SNACKS,variable,3.000,new item - no image found in earlier exports,
98000104,TRAIN CHOCLAIT,SNACKS,variable,3.000,new item - no image found in earlier exports,
98000105,TRAIN CHOCLAIT,SNACKS,185.00,3.000,new item - no image found in earlier exports,
98000061,VCUT CHEESE FLAVOR 25G,SNACKS,20.25,9.000,new item - no image found in earlier exports,
98000063,VCUT CHEESE FLAVOR 60G,SNACKS,41.50,7.000,new item - no image found in earlier exports,
10246,VCUT SPICY BARBEQUE 60G,SNACKS,41.50,10.000,new item - no image found in earlier exports,VCUT SPICY BARBEQUE 25G (10317@)
98000115,WINSTON RED KAHA,,215.00,2.000,new item - no image found in earlier exports,
98000117,WINSTON RED STICK,,12.00,-17.000,new item - no image found in earlier exports,
98000118,WINSTON WHITE KAHA,,220.00,1.000,new item - no image found in earlier exports,
98000116,WINSTON WHITE STICK,,12.00,7.000,new item - no image found in earlier exports,
10412,XSAKTO 8G,SNACKS,2.00,30.000,new item - no image found in earlier exports,
