Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart]
cobra-rise-energy-po--290ml,98000097,COBRA RISE ENERGY PO  290ML,DRINKS,,N,,,,,,,15.83,4800611112958,,,N,Y,21.50,,
cobra-rise-energy-po--290ml-1,98000102,COBRA RISE ENERGY PO  290ML,DRINKS,,N,,,,,,,15.83,4800611112958,,,Y,Y,21.50,7.000,
coca-cola-1.5ml,10278,COCA COLA 1.5ML,DRINKS,,N,,,,,,,65.75,4801981116072,,,Y,Y,74.75,0.000,
cocacola-1.75l,98000046,COCA COLA 1.75L,DRINKS,,N,,,,,,,61.67,4801981116072,,,Y,Y,84.75,1.000,5.000
cocacola-orig-190,10109,COCA COLA 190ML,DRINKS,,N,,,,,,,11.00,4801981127177,,,Y,Y,15.00,33.000,
cocacola-1l,10116,COCA COLA 1L,DRINKS,,N,,,,,,,0.00,,,,Y,Y,50.00,0.000,
coca-cola-1l-bottle,10486,COCA COLA 1L BOTTLE,DRINKS,,N,,,,,,,33.50,4801981109005,,,Y,Y,55.00,16.000,
cocacola-237ml,10123,COCA COLA 237ML,DRINKS,,N,,,,,,,0.00,,,,Y,Y,18.00,0.000,
cocacola-orig-290,10107,COCA COLA 290ML,DRINKS,,N,,,,,,,16.50,4801981118502,,,Y,Y,20.00,10.000,0.000
colgate,980000035,COLGATE,HOME ESSENTIALS,,N,,,,,,,8.75,8850006325216,,,Y,Y,11.98,23.000,
colgate-fresh-confidence,10429,COLGATE FRESH CONFIDENCE,HOME ESSENTIALS,,N,,,,,,,8.83,8850006325230,,,Y,Y,12.00,11.000,
colgate-mouthwash-plax-60ml,980000038,COLGATE MOUTHWASH PLAX 60ML,BATH ESSENTIALS,,N,,,,,,,29.75,8850006304563,,,Y,Y,38.98,11.000,
colgate-x2-tubes-maximum-cavity-protection-132g,980000036,COLGATE X2 TUBES MAXIMUM CAVITY PROTECTION 132G,BATH ESSENTIALS,,N,,,,,,,153.00,8850006327432,,,Y,Y,184.98,3.000,
colgate-x2-tubes-triple-action-120g,980000037,COLGATE X2 TUBES TRIPLE ACTION 120G,BATH ESSENTIALS,,N,,,,,,,153.00,8850006327470,,,Y,Y,184.98,1.000,
corn-bits-halo-halo-1,10395Q,CORN BITS HALO HALO,SNACKS,,N,,,,,,,1.09,,,,Y,Y,2.00,6.000,
cream-silk-conditioner-ss/pink,10270,CREAM SILK CONDITIONER SS/PINK,BATH ESSENTIALS,,N,,,,,,,6.25,4800888139306,,,Y,Y,10.00,12.000,
creamline--cup-choco-mallow-210ml,10363,CREAMLINE  CUP CHOCO MALLOW 210ML,ICE CREAM 🍦,,N,,,,,,,23.44,4806514103406,,,Y,Y,30.00,8.000,
creamline-bar-buko-salad,10345,CREAMLINE BAR BUKO SALAD,ICE CREAM 🍦,,N,,,,,,,11.60,4806514102003,,,Y,Y,17.00,0.000,
creamline-bar-cookies-&-creaam,10346,CREAMLINE BAR COOKIES & CREAM,ICE CREAM 🍦,,N,,,,,,,11.60,4806514102010,,,Y,Y,17.00,0.000,
creamline-bar-rocky-road,10348,CREAMLINE BAR ROCKY ROAD,ICE CREAM 🍦,,N,,,,,,,11.60,4806514102065,,,Y,Y,17.00,0.000,
creamline-bar-ube-queso-pastillas,10347,CREAMLINE BAR UBE QUESO PASTILLAS,ICE CREAM 🍦,,N,,,,,,,11.60,4806514102041,,,Y,Y,17.00,0.000,
creamline-berry-vanilla-mallows-1.3ml,98000044,CREAMLINE BERRY VANILLA MALLOWS 1.3ML,ICE CREAM 🍦,,N,,,,,,,190.75,4806514104465,,,Y,Y,229.75,1.000,
creamline-1.3-buko-salad,10358,CREAMLINE BUKO SALAD 1.3ML,ICE CREAM 🍦,,N,,,,,,,190.75,4806514104403,,,Y,Y,229.75,2.000,
creamline-cone-berry-choco,10337,CREAMLINE CONE BERRY CHOCO 110ML,ICE CREAM 🍦,,N,,,,,,,18.25,4806514101051,,,Y,Y,23.25,3.000,
creamline-cone-choco-queso-110ml,10338,CREAMLINE CONE CHOCO QUESO 110ML,ICE CREAM 🍦,,N,,,,,,,18.25,4806514101068,,,Y,Y,23.25,1.000,
creamline-cone-cookies-&-cream,10336,CREAMLINE CONE COOKIES & CREAM 110ML,ICE CREAM 🍦,,N,,,,,,,18.25,4806514101037,,,Y,Y,24.00,0.000,
creamline-cone-rocky-road-110ml,10334,CREAMLINE CONE ROCKY ROAD 110ML,ICE CREAM 🍦,,N,,,,,,,18.25,4806514101006,,,Y,Y,24.00,1.000,
creamline-cone-ube-macapuno-110ml,10335,CREAMLINE CONE UBE MACAPUNO 110ML,ICE CREAM 🍦,,N,,,,,,,18.25,4806514101013,,,Y,Y,24.00,4.000,
creamline-cookies-&-cream-1.3ml,98000042,CREAMLINE COOKIES & CREAM 1.3ML,ICE CREAM 🍦,,N,,,,,,,190.75,4806514104410,,,Y,Y,229.75,2.000,
creamline-coolers-chocolate-50ml-1,10381,CREAMLINE COOLERS CHOCOLATE 50ML,ICE CREAM 🍦,,N,,,,,,,9.90,4806514102607,,,Y,Y,14.00,4.000,
creamline-coolers-mango-50ml,10354,CREAMLINE COOLERS MANGO 70ML,ICE CREAM 🍦,,N,,,,,,,9.90,4806514102713,,,Y,Y,14.00,2.000,
creamline-coolers-melon-50ml,10371,CREAMLINE COOLERS MELON 70ML,ICE CREAM 🍦,,N,,,,,,,9.90,4806514102720,,,Y,Y,14.00,9.000,
creamline-coolers-strawberry-50ml,10352,CREAMLINE COOLERS STRAWBERRY 50ML,ICE CREAM 🍦,,N,,,,,,,9.90,4806514102737,,,Y,Y,14.00,7.000,
creamline-cup-choco-mud-pie-120ml,10364,CREAMLINE CUP CHOCO MUD PIE 210ML,ICE CREAM 🍦,,N,,,,,,,23.44,4806514103413,,,Y,Y,30.00,-2.000,
creamline-double-duthch-1.3ml,98000040,CREAMLINE DOUBLE DUTCH 1.3ML,ICE CREAM 🍦,,N,,,,,,,190.75,4806514104427,,,Y,Y,229.75,1.000,
creamline-family-dou-cookies&cream/choco,10357,CREAMLINE FAMILY DOU COOKIES&CREAM/CHOCO 950ML,ICE CREAM 🍦,,N,,,,,,,112.75,4806514104205,,,Y,Y,155.75,0.000,
creamline-family-dou-rocky-road/vanilla,10355,CREAMLINE FAMILY DOU ROCKY ROAD/VANILLA 950ML,ICE CREAM 🍦,,N,,,,,,,112.75,4806514104212,,,Y,Y,155.00,1.000,
creamline-family-duo-cookies&cream/choco,10356,CREAMLINE FAMILY DUO BUCO SALAD/UBE 950ML,ICE CREAM 🍦,,N,,,,,,,112.75,4806514104236,,,Y,Y,155.00,0.000,
creamline-frotees-grapes-50ml,10350,CREAMLINE FROOTEES GRAPES 50ML,ICE CREAM 🍦,,N,,,,,,,8.30,4806514102607,,,Y,Y,13.00,0.000,
creamline-frotees-orange-50ml,10349,CREAMLINE FROOTEES ORANGE 50ML,ICE CREAM 🍦,,N,,,,,,,8.30,4806514102614,,,Y,Y,13.00,0.000,
creamline-jumbo-cone-cookies-&-cream-140ml,10340,CREAMLINE JUMBO CONE COOKIES & CREAM 140ML,ICE CREAM 🍦,,N,,,,,,,24.10,4806514101327,,,Y,Y,30.00,10.000,
creamline-jumbo-cone-double-dutch-140ml,10339,CREAMLINE JUMBO CONE DOUBLE DUTCH 140ML,ICE CREAM 🍦,,N,,,,,,,24.10,4806514101303,,,Y,Y,30.00,7.000,
creamline-jumbo-cone-mango-peanut-140ml,10343,CREAMLINE JUMBO CONE MANGO PEANUT 140ML,ICE CREAM 🍦,,N,,,,,,,24.10,4806514101358,,,Y,Y,30.00,10.000,
creamline-jumbo-cone-rocky-road-140ml,10341,CREAMLINE JUMBO CONE ROCKY ROAD 140ML,ICE CREAM 🍦,,N,,,,,,,24.10,4806514101334,,,Y,Y,30.00,10.000,
creamline-jumbo-cone-ube-queso-140ml,10342,CREAMLINE JUMBO CONE UBE QUESO 140ML,ICE CREAM 🍦,,N,,,,,,,24.10,4806514101341,,,Y,Y,30.00,5.000,
creamline-melon-50ml,10353,CREAMLINE MELON 50ML,ICE CREAM 🍦,,N,,,,,,,9.90,,,,Y,Y,17.00,10.000,
creamline-milky-pop-lolly-milk-choco-60ml,10362,CREAMLINE MILKY POP LOLLY MILK CHOCO 60ML,ICE CREAM 🍦,,N,,,,,,,9.88,4806514102966,,,Y,Y,15.00,14.000,
creamline-mini-cup-choco-marble-75ml,10369,CREAMLINE MINI CUP CHOCO MARBLE 75ML,ICE CREAM 🍦,,N,,,,,,,12.70,4806514103000,,,Y,Y,20.00,6.000,
creamline-mini-cup-75ml,10368,CREAMLINE MINI CUP CHOCOLATE 75ML,ICE CREAM 🍦,,N,,,,,,,12.70,4806514103031,,,Y,Y,20.00,4.000,
creamline-mini-cup-ube-75ml,10370,CREAMLINE MINI CUP UBE 75ML,ICE CREAM 🍦,,N,,,,,,,12.70,4806514103017,,,Y,Y,20.00,6.000,
creamline-peach-mango-twist-1.3ml-1,98000049,CREAMLINE PEACH MANGO TWIST 1.3ML,,,N,,,,,,,190.75,4806514104489,,,N,Y,229.75,,
creamline-pinipig-chocolate-70ml,10344,CREAMLINE PINIPIG CHOCOLATE 70ML,ICE CREAM 🍦,,N,,,,,,,16.15,4806514102300,,,Y,Y,20.00,45.000,
creamline-pinoy-classic-buko-pandan-mango-60ml,10361,CREAMLINE PINOY CLASSIC BUKO PANDAN MANGO 60ML,ICE CREAM 🍦,,N,,,,,,,19.08,,,,Y,Y,20.00,10.000,
creamline-pinoy-classic-monggo-60ml,10359,CREAMLINE PINOY CLASSIC MANGGO 60ML,ICE CREAM 🍦,,N,,,,,,,13.30,,,,Y,Y,20.00,5.000,
creamline-pinoy-classic-ube-monggo-60-ml,10360,CREAMLINE PINOY CLASSIC UBE MANGGO 60 ML,ICE CREAM 🍦,,N,,,,,,,13.30,,,,Y,Y,20.00,9.000,
creamline-rocky-road-1.3ml,98000041,CREAMLINE ROCKY ROAD 1.3ML,ICE CREAM 🍦,,N,,,,,,,190.75,4806514104434,,,Y,Y,229.75,2.000,
creamline-sundae-caramel-120ml,10366,CREAMLINE SUNDAE CARAMEL 120ML,ICE CREAM 🍦,,N,,,,,,,15.85,4806514103215,,,Y,Y,25.00,3.000,
creamline-sundae-chocolate120ml,10365,CREAMLINE SUNDAE CHOCOLATE120ML,ICE CREAM 🍦,,N,,,,,,,15.85,4806514103208,,,Y,Y,25.00,5.000,
creamline-sundaecaramel120ml,10367,CREAMLINE SUNDAE STRAWBERRY 120ML,ICE CREAM 🍦,,N,,,,,,,15.85,4806514103222,,,Y,Y,25.00,3.000,
creamline-ube-queso-pastillas-1.3ml,98000043,CREAMLINE UBE QUESO PASTILLAS 1.3ML,ICE CREAM 🍦,,N,,,,,,,190.75,4806514104458,,,Y,Y,229.75,1.000,
crispy-patata,10146,CRISPY PATATA 24G,SNACKS,,N,,,,,,,7.75,4800194104869,,,Y,Y,9.98,2.000,
crispy-patata-85g,10158,CRISPY PATATA 85G,SNACKS,,N,,,,,,,25.65,4800194177863,,,Y,Y,33.50,3.000,
crystal-gulaman-powder-24g,9800019,CRYSTAL GULAMAN POWDER 24G,FOOD,,N,,,,,,,0.00,,,,N,Y,19.50,,
cutter,10304,CUTTER,HOME ESSENTIALS,,N,,,,,,,15.50,6977591910862,,,Y,Y,20.00,12.000,
daily-scent-lazy-afternoon,10255,DAILY SCENT 25ML,Perfume cologne,,N,,,,,,,0.00,4800417059617,,,Y,Y,25.00,18.000,2.000
daily-scent-50ml,10432,DAILY SCENT 50ML,,,N,,,,,,,0.00,,,,Y,Y,56.00,5.000,
daily-scent-75ml,10433,DAILY SCENT 75ML,,,N,,,,,,,0.00,,,,Y,Y,85.00,1.000,
datu-puti-soy-sauce-385ml,10168,DATU PUTI SOY SAUCE 385ML,FOOD,,N,,,,,,,22.25,4801668500286,,,Y,Y,28.95,5.000,
del-monte-creamy&cheesy-party-pack,10451,DEL MONTE CREAMY&CHEESY PARTY PACK,FOOD,,N,,,,,,,153.25,4800024580863,,,Y,Y,175.00,2.000,
del-monte-creamy&cheesy-spaghetti-sauce,10464,DEL MONTE CREAMY&CHEESY SPAGHETTI SAUCE,FOOD,,N,,,,,,,73.00,4800024578921,,,Y,Y,85.00,3.000,
del-monte-fiesta-cocktail,10467,DEL MONTE FIESTA COCKTAIL 3KG,FOOD,,N,,,,,,,365.00,4800024550958,,,Y,Y,385.00,2.000,
del-monte-filipino-party-pack,10453,DEL MONTE FILIPINO PARTY PACK,FOOD,,N,,,,,,,147.00,4800024575739,,,Y,Y,170.00,2.000,
del-monte-four-seasons-1l,10442,DEL MONTE FOUR SEASONS 1L,DRINKS,,N,,,,,,,106.10,4800024575258,,,Y,Y,125.00,3.000,
del-monte-original-ketchup,10462,DEL MONTE ORIGINAL KETCHUP,FOOD,,N,,,,,,,33.75,4800024577122,,,Y,Y,45.00,3.000,
del-monte-sweet-chili-320g,10463,DEL MONTE SWEET CHILI 320G,FOOD,,N,,,,,,,42.70,4800024582461,,,Y,Y,50.00,3.000,
del-monte-sweet-party-pack,10452,DEL MONTE SWEET PARTY PACK,FOOD,,N,,,,,,,147.00,4800024575722,,,Y,Y,170.00,2.000,
delight-probiotic-100ml,98000136,DELIGHT PROBIOTIC 100ML,DRINKS,,N,,,,,,,11.40,8851717904967,,,Y,Y,16.00,0.000,
delight-probiotic,98000135,DELIGHT PROBIOTIC 400ML,DRINKS,,N,,,,,,,48.00,8851717905407,,,Y,Y,60.00,8.000,
ding-dong-hot&-spicy-100g,98000132,DINGDONG HOT& SPICY 100G,SNACKS,,N,,,,,,,27.00,4800092331909,,,Y,Y,35.00,6.000,
dingdong-hotnspocy,10183,DINGDONG HOTNSPICY 5G,SNACKS,,N,,,,,,,0.00,4800092331152,,,Y,Y,2.00,45.000,
dingdong-mix-nuts-real-garlic100g,98000133,DINGDONG MIX NUTS REAL GARLIC 100G,SNACKS,,N,,,,,,,24.00,4800092332852,,,Y,Y,31.00,8.000,
dingdong-30g,10155,DINGDONG MIXED NUT 30G,SNACKS,,N,,,,,,,6.75,4800092332791,,,Y,Y,10.00,-5.000,
dingdong-mxd-nuts,10153,DINGDONG MIXED NUTS 100G,SNACKS,,N,,,,,,,24.00,4800092330131,,,Y,Y,30.00,-1.000,
dingdong-mixnuts-5g,10185,DINGDONG MIXNUTS 5G,SNACKS,,N,,,,,,,1.10,4800092330100,,,Y,Y,2.00,46.000,
dingdong-snack-mix-30g,10391,DINGDONG SNACK MIX 30G,SNACKS,,N,,,,,,,6.75,4800092333033,,,Y,Y,10.00,9.000,
dingdong-mixed-nuts-100g,10392,DINGDONG SNACK MIX SWEET&SPICY 100G,SNACKS,,N,,,,,,,26.00,4800092332630,,,Y,Y,30.00,0.000,
dingdong-snack-mix-100g-1,98000131,DINGDONG SNACK MIX WITH  CHIPS CURLS 100G,SNACKS,,N,,,,,,,24.00,4800092331732,,,Y,Y,30.00,3.000,
don-frank-choco,10051,DON FRANK CHOCO,FOOD,,N,,,,,,,0.00,710535411683,,,N,Y,19.50,,
don-frank-coffee-jelly,10047,DON FRANK COFFEE JELLY,FOOD,,N,,,,,,,0.00,710535411669,,,N,Y,19.50,,
don-frank-grass-jelly,10052,DON FRANK GRASS JELLY,FOOD,,N,,,,,,,0.00,4809012601184,,,N,Y,19.50,,
don-frank-orange,10048,DON FRANK ORANGE,FOOD,,N,,,,,,,0.00,4809012601177,,,N,Y,19.50,,
don-frank-pandan,10050,DON FRANK PANDAN,FOOD,,N,,,,,,,0.00,4809012601122,,,N,Y,19.50,,
don-frank-red,10053,DON FRANK RED,FOOD,,N,,,,,,,0.00,4809012601023,,,N,Y,19.50,,
