Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
20/09/2026 15:46,2-1077,Sale,DRINKS,10109,COCA COLA 190ML,,,2.000,30.00,0.00,30.00,22.00,8.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 15:29,2-1076,Sale,DRINKS,10188,NATURE'S SPRING PURE 1000ML,,,1.000,25.00,0.00,25.00,14.26,10.74,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 15:23,2-1075,Sale,DRINKS,98000135,DELIGHT PROBIOTIC 400ML,,,1.000,60.00,0.00,60.00,48.00,12.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 15:23,2-1075,Sale,FOOD,10205,GREAT TASTE WHITE,,,1.000,10.00,0.00,10.00,8.20,1.80,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 15:05,2-1074,Sale,ICE CREAM 🍦,10346,CREAMLINE BAR COOKIES & CREAM,,,1.000,16.75,0.00,16.75,11.60,5.15,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 15:05,2-1074,Sale,ICE CREAM 🍦,10348,CREAMLINE BAR ROCKY ROAD,,,1.000,16.75,0.00,16.75,11.60,5.15,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 14:58,2-1073,Sale,,10450,EDEN CHEESE 45G,,,1.000,22.89,0.00,22.89,17.55,5.34,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 14:47,2-1072,Sale,,98000110,MIGHTY PULA  STICK,,,1.000,10.00,0.00,10.00,8.02,1.98,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 14:47,2-1072,Sale,SNACKS,10231,CLOUD 9 CLASSIC,,,1.000,10.00,0.00,10.00,6.35,3.65,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 14:25,2-1071,Sale,,98000110,MIGHTY PULA  STICK,,,2.000,20.00,0.00,20.00,16.04,3.96,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 14:21,2-1070,Sale,DRINKS,10107,COCA COLA 290ML,,,1.000,20.00,0.00,20.00,16.50,3.50,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 14:21,2-1070,Sale,DRINKS,10439,NATURE'S SPRING DISTILLED 1000ML,,,1.000,28.00,0.00,28.00,16.43,11.57,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 14:21,2-1070,Sale,DRINKS,10113,NUTRIBOOST STRWBRRY 110,,,1.000,15.00,0.00,15.00,0.00,15.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 13:57,2-1069,Sale,DRINKS,98000046,COCA COLA 1.75L,,,1.000,84.75,0.00,84.75,61.67,23.08,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 13:57,2-1069,Sale,,98000110,MIGHTY PULA  STICK,,,5.000,50.00,0.00,50.00,40.10,9.90,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 13:02,2-1068,Sale,DRINKS,10239,MOUNTAIN DEW (290ML),,,1.000,20.00,0.00,20.00,16.35,3.65,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 12:56,2-1067,Sale,FOOD,10330,LEMON SQUARE CHEESE CAKE,,,3.000,35.94,0.00,35.94,23.10,12.84,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 12:54,2-1066,Sale,DRINKS,98000108,VITAMILK(DOUBLECHOCO) 300ML,,,1.000,35.00,0.00,35.00,29.50,5.50,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 12:48,2-1065,Sale,,98000110,MIGHTY PULA  STICK,,,1.000,10.00,0.00,10.00,8.02,1.98,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 12:47,2-1064,Sale,,10235,"#misc",,,1.000,5.00,0.00,5.00,0.00,5.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 12:12,2-1063,Sale,DRINKS,10251,PEPSI EXTRA FIZZ 1L,,,1.000,55.00,0.00,55.00,41.00,14.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 12:12,2-1063,Sale,DRINKS,10188,NATURE'S SPRING PURE 1000ML,,,1.000,25.00,0.00,25.00,14.26,10.74,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 11:51,2-1062,Sale,DRINKS,98000046,COCA COLA 1.75L,,,1.000,84.75,0.00,84.75,61.67,23.08,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 11:49,2-1061,Sale,DRINKS,98000076,POCARI SWEAT 500ML,,,1.000,55.00,0.00,55.00,44.58,10.42,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 11:49,2-1061,Sale,CIGARETTE,98000117,WINSTON RED STICK,,,2.000,24.00,0.00,24.00,18.20,5.80,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 11:40,2-1060,Sale,DRINKS,980000039,TANDUAY SELECT 700ML,,,1.000,155.00,0.00,155.00,138.59,16.41,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 11:40,2-1060,Sale,ICE CREAM 🍦,10364,CREAMLINE CUP CHOCO MUD PIE 210ML,,,1.000,29.50,0.00,29.50,23.44,6.06,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 10:16,2-1059,Sale,SNACKS,10391,DINGDONG SNACK MIX 30G,,,1.000,10.00,0.00,10.00,6.75,3.25,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 10:16,2-1059,Sale,,98000110,MIGHTY PULA  STICK,,,1.000,10.00,0.00,10.00,8.02,1.98,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 08:53,2-1058,Sale,DRINKS,10437,NATURE'S SPRING PURE 500ML,,,6.000,90.00,0.00,90.00,54.36,35.64,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 08:40,2-1057,Sale,SNACKS,10374,SKYFLAKES CRACKER,,,1.000,9.98,0.00,9.98,6.00,3.98,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 08:40,2-1057,Sale,FOOD,10171,ENERGEN VNLA,,,1.000,12.00,0.00,12.00,8.65,3.35,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 08:40,2-1057,Sale,,10235,"#misc",,,1.000,5.00,0.00,5.00,0.00,5.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 08:39,2-1056,Sale,DRINKS,10439,NATURE'S SPRING DISTILLED 1000ML,,,1.000,28.00,0.00,28.00,16.43,11.57,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 00:45,2-1055,Sale,,98000110,MIGHTY PULA  STICK,,,2.000,20.00,0.00,20.00,16.04,3.96,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 00:26,2-1054,Sale,CIGARETTE,98000117,WINSTON RED STICK,,,10.000,120.00,0.00,120.00,91.00,29.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 00:20,2-1053,Sale,,98000115,WINSTON RED KAHA,,,1.000,215.00,0.00,215.00,184.00,31.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 00:14,2-1052,Sale,Cleaning/Laundry Supplies,10010,ZONROX ORIG 1L,,,1.000,62.00,0.00,62.00,0.00,62.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 00:14,2-1052,Sale,Cleaning/Laundry Supplies,10101,BARETA BAR W/ FABCON,,,1.000,25.98,0.00,25.98,0.00,25.98,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 00:14,2-1052,Sale,Cleaning/Laundry Supplies,98000002,ARIEL POWDER TWIN JUMBO PACK FLORAL PASSION,,,4.000,79.92,0.00,79.92,60.48,19.44,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 00:14,2-1052,Sale,Cleaning/Laundry Supplies,980000027,DOWNY KONTRA  GERMS 26ML,,,6.000,53.88,0.00,53.88,37.38,16.50,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
20/09/2026 00:08,2-1051,Sale,SNACKS,10396,TATTOOS CORN TUBE PIZZA 60G,,,1.000,14.98,0.00,14.98,10.90,4.08,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 23:36,2-1050,Sale,DRINKS,10084,RED HORSE LITRO,,,2.000,290.00,0.00,290.00,240.00,50.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 23:36,2-1050,Sale,,9800170,"#StyroCups w/ stirrer",,,1.000,5.00,0.00,5.00,0.00,5.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 23:27,2-1049,Sale,ICE CREAM 🍦,10338,CREAMLINE CONE CHOCO QUESO 110ML,,,1.000,23.25,0.00,23.25,18.25,5.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 23:27,2-1049,Sale,ICE CREAM 🍦,10346,CREAMLINE BAR COOKIES & CREAM,,,1.000,16.75,0.00,16.75,11.60,5.15,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 23:20,2-1048,Sale,ICE CREAM 🍦,10344,CREAMLINE PINIPIG CHOCOLATE 70ML,,,1.000,19.98,0.00,19.98,16.15,3.83,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 23:17,2-1047,Sale,ICE CREAM 🍦,10344,CREAMLINE PINIPIG CHOCOLATE 70ML,,,1.000,19.98,0.00,19.98,16.15,3.83,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 23:17,2-1047,Sale,SNACKS,10145,PIATTOS SOUR CREAM 40G,,,1.000,18.50,0.00,18.50,15.75,2.75,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 23:17,2-1047,Sale,SNACKS,10214,MAGIC CREAMS BUTTER,,,1.000,9.00,0.00,9.00,5.55,3.45,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 23:17,2-1047,Sale,ICE CREAM 🍦,10354,CREAMLINE COOLERS MANGO 70ML,,,1.000,14.00,0.00,14.00,9.90,4.10,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 23:16,2-1046,Sale,ICE CREAM 🍦,10354,CREAMLINE COOLERS MANGO 70ML,,,1.000,14.00,0.00,14.00,9.90,4.10,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 23:03,2-1045,Sale,SNACKS,10219,MR CHIPS MANAMIS MAIS 45G,,,1.000,12.50,0.00,12.50,8.19,4.31,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 22:45,2-1044,Sale,FOOD,10221,GREAT TASTE CHOCO,,,1.000,15.00,0.00,15.00,12.50,2.50,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 22:38,2-1043,Sale,,9800170,"#StyroCups w/ stirrer",,,2.000,10.00,0.00,10.00,0.00,10.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 22:37,2-1042,Sale,DRINKS,10084,RED HORSE LITRO,,,2.000,290.00,0.00,290.00,240.00,50.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 22:33,2-1041,Sale,DRINKS,10084,RED HORSE LITRO,,,2.000,290.00,0.00,290.00,240.00,50.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 22:33,2-1041,Sale,DRINKS,98000046,COCA COLA 1.75L,,,1.000,84.75,0.00,84.75,61.67,23.08,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 22:24,2-1040,Sale,SNACKS,10152,MOBY CARAMEL,,,1.000,11.00,0.00,11.00,8.25,2.75,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 22:24,2-1040,Sale,SNACKS,10389,MOBY CRUNCHY CHOCOLATE,,,2.000,22.00,0.00,22.00,16.50,5.50,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 22:24,2-1040,Sale,DRINKS,10193,YAKULT,,,3.000,45.00,0.00,45.00,30.00,15.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 22:24,2-1040,Sale,DRINKS,10436,NATURE'S SPRING PURE 350ML,,,1.000,10.00,0.00,10.00,6.92,3.08,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 22:16,2-1039,Sale,CIGARETTE,98000117,WINSTON RED STICK,,,4.000,48.00,0.00,48.00,36.40,11.60,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 22:01,2-1038,Sale,BABY ESSENTIALS,10078,LAMPEIN XXL 12PCS,,,1.000,145.00,0.00,145.00,0.00,145.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:46,2-1037,Sale,DRINKS,10084,RED HORSE LITRO,,,1.000,145.00,0.00,145.00,120.00,25.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:46,2-1037,Sale,DRINKS,10193,YAKULT,,,1.000,15.00,0.00,15.00,10.00,5.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:46,2-1037,Sale,,9800170,"#StyroCups w/ stirrer",,,1.000,5.00,0.00,5.00,0.00,5.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:44,2-1036,Sale,CIGARETTE,98000117,WINSTON RED STICK,,,2.000,24.00,0.00,24.00,18.20,5.80,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:44,2-1036,Sale,DRINKS,10117,ROYAL 190,,,1.000,15.00,0.00,15.00,0.00,15.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:42,2-1035,Sale,SNACKS,10157,SWEETCHILI CHPS BBQ,,,1.000,11.50,0.00,11.50,8.25,3.25,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:42,2-1035,Sale,DRINKS,98000052,C2 GREEN TEA LEMON 335ML,,,1.000,28.75,0.00,28.75,22.09,6.66,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:42,2-1034,Sale,DRINKS,10109,COCA COLA 190ML,,,2.000,30.00,0.00,30.00,22.00,8.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:42,2-1034,Sale,Cleaning/Laundry Supplies,10015,ZONROX ORIG 250,,,1.000,26.00,0.00,26.00,0.00,26.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:42,2-1034,Sale,Cleaning/Laundry Supplies,980000027,DOWNY KONTRA  GERMS 26ML,,,1.000,8.98,0.00,8.98,6.23,2.75,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:42,2-1034,Sale,HOME ESSENTIALS,10247,SILKA (WHITENING HERBAL SOAP),,,1.000,22.00,0.00,22.00,18.20,3.80,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:42,2-1034,Sale,HOME ESSENTIALS,10425,KAMI BATHROOM TISSUE,,,1.000,15.00,0.00,15.00,10.55,4.45,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:42,2-1034,Sale,,10235,"#misc",,,1.000,12.00,0.00,12.00,0.00,12.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:36,2-1033,Sale,DRINKS,98000136,DELIGHT PROBIOTIC 100ML,,,1.000,16.00,0.00,16.00,11.40,4.60,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:35,2-1032,Sale,DRINKS,10188,NATURE'S SPRING PURE 1000ML,,,1.000,25.00,0.00,25.00,14.26,10.74,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:35,2-1032,Sale,,10235,"#misc",,,1.000,10.00,0.00,10.00,0.00,10.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 21:31,2-1031,Sale,,98000116,WINSTON WHITE STICK,,,1.000,12.00,0.00,12.00,9.92,2.08,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 20:56,2-1030,Sale,ICE CREAM 🍦,10282,NOBRELLI CHOCO-MANGGA-UBE 1.3L,,,1.000,210.98,0.00,210.98,168.00,42.98,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 20:56,2-1030,Sale,CIGARETTE,98000117,WINSTON RED STICK,,,10.000,120.00,0.00,120.00,91.00,29.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 20:46,2-1029,Sale,SNACKS,10148,MR. CHIPS  NACHO CHEEZE 4G,,,1.000,9.75,0.00,9.75,5.45,4.30,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 20:32,2-1028,Sale,SNACKS,98000105,TRAIN CHOCLAIT,,,1.000,185.00,0.00,185.00,155.55,29.45,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 20:29,2-1027,Sale,DRINKS,10117,ROYAL 190,,,1.000,15.00,0.00,15.00,0.00,15.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 20:29,2-1027,Sale,CIGARETTE,98000117,WINSTON RED STICK,,,3.000,36.00,0.00,36.00,27.30,8.70,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 20:25,2-1026,Sale,DRINKS,10119,VINO KULAFU 350,,,1.000,50.00,0.00,50.00,43.90,6.10,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 20:25,2-1025,Sale,DRINKS,10437,NATURE'S SPRING PURE 500ML,,,1.000,15.00,0.00,15.00,9.06,5.94,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 20:17,2-1024,Sale,BABY ESSENTIALS,10250,UNILOVE BABY WIPES,,,1.000,79.50,0.00,79.50,46.33,33.17,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 20:17,2-1024,Sale,,10235,"#misc",,,1.000,5.00,0.00,5.00,0.00,5.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 20:00,2-1023,Sale,SNACKS,98000068,FUN SIZE! PIATTOS CHEESE 18G,,,1.000,10.50,0.00,10.50,6.66,3.84,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 20:00,2-1023,Sale,SNACKS,10148,MR. CHIPS  NACHO CHEEZE 4G,,,1.000,9.75,0.00,9.75,5.45,4.30,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 19:47,2-1022,Sale,CIGARETTE,98000117,WINSTON RED STICK,,,2.000,24.00,0.00,24.00,18.20,5.80,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 19:35,2-1021,Sale,CIGARETTE,98000117,WINSTON RED STICK,,,2.000,24.00,0.00,24.00,18.20,5.80,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 19:09,2-1020,Sale,DRINKS,98000046,COCA COLA 1.75L,,,1.000,84.75,0.00,84.75,61.67,23.08,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 19:09,2-1020,Sale,DRINKS,10436,NATURE'S SPRING PURE 350ML,,,1.000,10.00,0.00,10.00,6.92,3.08,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 19:02,2-1019,Sale,DRINKS,98000046,COCA COLA 1.75L,,,1.000,84.75,0.00,84.75,61.67,23.08,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 19:02,2-1019,Sale,,9800170,"#StyroCups w/ stirrer",,,1.000,5.00,0.00,5.00,0.00,5.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
19/09/2026 19:02,2-1019,Sale,FOOD,10128,NESCAFE ORIGINAL TWIN PACK,,,3.000,51.00,0.00,51.00,42.00,9.00,0.00,Dine in,POS 2,Route 98 - Minimart,Owner,,,,Closed
